match_id,team,minute,color,dice,player
1,Mexico,23,yellow,,Brian Gutiérrez
1,South Africa,17,yellow,,Teboho Mokoena
1,South Africa,74,yellow,,Nkosinathi Sibisi
1,South Africa,49,red,2,Sphephelo Sithole
1,South Africa,84,red,6,Themba Zwane
1,Mexico,90+2,red,6,César Montes
2,South Korea,90+6,yellow,,Lee Gi-hyuk
3,Canada,11,yellow,,Alistair Johnston
3,Canada,53,yellow,,Luc de Fougerolles
3,Bosnia & Herzegovina,44,yellow,,Ermedin Demirović
3,Bosnia & Herzegovina,45+1,yellow,,Jovo Lukić
3,Bosnia & Herzegovina,90+3,yellow,,Nikola Katić
4,USA,59,yellow,,Tyler Adams
4,Paraguay,9,yellow,,Juan José Cáceres
4,Paraguay,53,yellow,,Miguel Almirón
4,Paraguay,79,yellow,,Diego Gómez
4,Paraguay,88,yellow,,Álex Arce
4,Paraguay,90+3,yellow,,Júnior Alonso
5,Qatar,16,yellow,,Mahmoud Abunada
5,Qatar,23,yellow,,Jassem Gaber
5,Switzerland,42,yellow,,Denis Zakaria
6,Brazil,37,yellow,,Casemiro
6,Brazil,43,yellow,,Roger Ibañez
7,Haiti,39,yellow,,Jean-Ricner Bellegarde
7,Scotland,46,yellow,,Aaron Hickey
7,Scotland,90+1,yellow,,Findlay Curtis
7,Scotland,90+5,yellow,,Kenny McLean
8,Turkey,86,yellow,,Yunus Akgün
10,Netherlands,61,yellow,,Crysencio Summerville
10,Netherlands,83,yellow,,Memphis Depay
10,Netherlands,90+1,yellow,,Micky van de Ven
11,Ivory Coast,28,yellow,,Seko Fofana
11,Ivory Coast,38,yellow,,Franck Kessié
11,Ivory Coast,40,yellow,,Guéla Doué
11,Ecuador,73,yellow,,Jackson Porozo
12,Tunisia,54,yellow,,Rani Khedira
13,Cape Verde,16,yellow,,Sidny Lopes Cabral
13,Spain,90+3,yellow,,Pedri
14,Belgium,14,yellow,,Timothy Castagne
14,Belgium,75,yellow,,Maxim De Cuyper
14,Egypt,13,yellow,,Marwan Attia
14,Egypt,34,yellow,,Ahmed Fatouh
15,Saudi Arabia,44,yellow,,Abdulelah Al-Amri
16,Iran,89,yellow,,Ehsan Hajsafi
18,Iraq,86,yellow,,Zaid Tahseen
20,Austria,77,yellow,,Marcel Sabitzer
21,Portugal,13,yellow,,Bernardo Silva
21,Portugal,88,yellow,,Nélson Semedo
21,Portugal,90+2,yellow,,Tomás Araújo
21,DR Congo,32,yellow,,Chancel Mbemba
23,Ghana,16,yellow,,Caleb Yirenkyi
23,Panama,72,yellow,,César Blackman
23,Panama,90+9,yellow,,Carlos Harvey
24,Colombia,7,yellow,,Johan Mojica
24,Uzbekistan,34,yellow,,Abdukodir Khusanov
25,Czechia,75,yellow,,Ladislav Krejčí
25,South Africa,33,yellow,,Teboho Mokoena
25,South Africa,40,yellow,,Thalente Mbatha
26,Switzerland,65,yellow,,Nico Elvedi
26,Bosnia & Herzegovina,59,yellow,,Amar Dedić
26,Bosnia & Herzegovina,61,yellow,,Edin Džeko
